iter	Passed	Remaining
559	3188	2504
560	3193	2499
561	3199	2493
562	3205	2488
563	3211	2482
564	3217	2477
565	3223	2472
566	3229	2466
567	3235	2460
568	3241	2455
569	3247	2449
570	3253	2444
571	3258	2438
572	3265	2433
573	3270	2427
574	3276	2422
575	3282	2416
576	3288	2410
577	3294	2405
578	3300	2399
579	3306	2394
580	3311	2388
581	3317	2382
582	3322	2376
583	3327	2370
584	3333	2365
585	3338	2358
586	3344	2352
587	3349	2346
588	3354	2340
589	3360	2334
590	3365	2329
591	3371	2323
592	3376	2317
593	3382	2311
594	3387	2305
595	3393	2300
596	3398	2294
597	3405	2289
598	3411	2283
599	3416	2277
600	3422	2272
601	3427	2266
602	3433	2260
603	3438	2254
604	3444	2248
605	3450	2243
606	3455	2237
607	3461	2231
608	3467	2226
609	3473	2220
610	3479	2215
611	3484	2209
612	3490	2203
613	3496	2197
614	3501	2192
615	3508	2186
616	3513	2181
617	3519	2175
618	3524	2169
619	3530	2163
620	3535	2157
621	3540	2151
622	3545	2145
623	3550	2139
624	3556	2133
625	3561	2127
626	3566	2121
627	3571	2115
628	3577	2110
629	3583	2104
630	3588	2098
631	3594	2093
632	3600	2087
633	3606	2082
634	3612	2076
635	3618	2071
636	3624	2065
637	3630	2059
638	3636	2054
639	3641	2048
640	3647	2042
641	3653	2037
642	3659	2031
643	3664	2025
644	3670	2020
645	3676	2014
646	3682	2008
647	3687	2003
648	3693	1997
649	3698	1991
650	3704	1985
651	3710	1980
652	3715	1974
653	3721	1968
654	3727	1963
655	3733	1957
656	3738	1951
657	3743	1945
658	3749	1939
659	3754	1934
660	3759	1928
661	3764	1922
662	3769	1916
663	3774	1910
664	3780	1904
665	3786	1898
666	3792	1893
667	3798	1888
668	3804	1882
669	3810	1876
670	3816	1871
671	3823	1866
672	3828	1860
673	3834	1854
674	3840	1848
675	3845	1843
676	3851	1837
677	3857	1831
678	3863	1826
679	3869	1820
680	3875	1815
681	3881	1809
682	3887	1804
683	3894	1799
684	3900	1793
685	3906	1788
686	3912	1782
687	3918	1776
688	3924	1771
689	3930	1765
690	3935	1760
691	3941	1754
692	3947	1748
693	3952	1742
694	3958	1737
695	3964	1731
696	3970	1725
697	3975	1720
698	3981	1714
699	3986	1708
700	3991	1702
701	3998	1697
702	4003	1691
703	4009	1685
704	4015	1680
705	4020	1674
706	4026	1668
707	4032	1662
708	4037	1657
709	4043	1651
710	4048	1645
711	4054	1639
712	4060	1634
713	4065	1628
714	4071	1622
715	4077	1617
716	4082	1611
717	4088	1605
718	4094	1600
719	4099	1594
720	4105	1588
721	4111	1583
722	4117	1577
723	4123	1572
724	4129	1566
725	4135	1560
726	4142	1555
727	4148	1549
728	4154	1544
729	4159	1538
730	4165	1532
731	4171	1527
732	4176	1521
733	4182	1515
734	4188	1510
735	4193	1504
736	4199	1498
737	4205	1492
738	4210	1487
739	4216	1481
740	4222	1475
741	4227	1470
742	4233	1464
743	4239	1458
744	4244	1452
745	4250	1447
746	4256	1441
747	4261	1435
748	4267	1430
749	4273	1424
750	4279	1418
751	4285	1413
752	4290	1407
753	4297	1402
754	4303	1396
755	4308	1390
756	4314	1384
757	4320	1379
758	4325	1373
759	4331	1367
760	4337	1362
761	4343	1356
762	4349	1350
763	4354	1345
764	4359	1339
765	4364	1333
766	4370	1327
767	4375	1321
768	4381	1316
769	4386	1310
770	4392	1304
771	4398	1298
772	4403	1293
773	4409	1287
774	4415	1281
775	4421	1276
776	4426	1270
777	4431	1264
778	4436	1258
779	4441	1252
780	4447	1247
781	4453	1241
782	4459	1235
783	4465	1230
784	4470	1224
785	4476	1218
786	4481	1212
787	4487	1207
788	4493	1201
789	4498	1195
790	4504	1190
791	4509	1184
792	4515	1178
793	4521	1173
794	4527	1167
795	4533	1161
796	4539	1156
797	4544	1150
798	4550	1144
799	4556	1139
800	4562	1133
801	4568	1127
802	4574	1122
803	4581	1116
804	4586	1111
